case,k,tau,eol_efficiency,eol_efficiency_pct_change,eol_isp_s,dv_km_s,dv_pct_change
grid,0.02697422723819401,3058.3477549581744,0.5106221505240682,-1.5889078580909848,1734.2407945112018,8780.038726711215,0.0
grid,0.02697422723819401,3822.934693697718,0.5152166882383626,-0.7034126364543142,1739.564016752711,8799.371606431898,0.22019128072712746
grid,0.02697422723819401,4587.521632437261,0.518781561621561,-0.0163623731077112,1743.6942719517417,8813.938429736638,0.3860996981971302
grid,0.02697422723819401,5352.1085711768055,0.5216511935458543,0.5366955219036122,1747.0190217817014,8825.37955573244,0.5164080755508033
grid,0.02697422723819401,6116.695509916349,0.5240233858755059,0.9938829699844954,1749.7674390884201,8834.640750979537,0.6218881939803828
grid,0.03236907268583281,1529.1738774790872,0.48365761240357164,-6.785724413770605,1716.1664453080134,8710.088793550789,-0.7966927634113883
grid,0.03236907268583281,2293.7608162186307,0.49487068582711796,-4.624653256269779,1726.9926490807736,8752.75281105935,-0.3107721560367761
grid,0.03236907268583281,3058.3477549581744,0.5023778405603797,-3.1778157161819696,1734.2407945112018,8780.038726711215,0.0
grid,0.03236907268583281,3822.934693697718,0.507891285817533,-2.1152214502179736,1739.564016752711,8799.371606431898,0.22019128072712746
grid,0.03236907268583281,4587.521632437261,0.5121691338773711,-1.2907611342020286,1743.6942719517417,8813.938429736638,0.3860996981971302
grid,0.03236907268583281,5352.1085711768055,0.5156126921865231,-0.6270916601884449,1747.0190217817014,8825.37955573244,0.5164080755508033
grid,0.03236907268583281,6116.695509916349,0.518459322982105,-0.07846672249138503,1749.7674390884201,8834.640750979537,0.6218881939803828
grid,0.037763918133471616,1529.1738774790872,0.47229326441374847,-8.975950388126355,1716.1664453080134,8710.088793550789,-0.7966927634113883
grid,0.037763918133471616,2293.7608162186307,0.4853751834078858,-6.454700704375398,1726.9926490807736,8752.75281105935,-0.3107721560367761
grid,0.037763918133471616,3058.3477549581744,0.49413353059669124,-4.766723574272945,1734.2407945112018,8780.038726711215,0.0
grid,0.037763918133471616,3822.934693697718,0.5005658833967034,-3.527030263981611,1739.564016752711,8799.371606431898,0.22019128072712746
grid,0.037763918133471616,4587.521632437261,0.505556706133181,-2.5651598952963672,1743.6942719517417,8813.938429736638,0.3860996981971302
grid,0.037763918133471616,5352.1085711768055,0.5095741908271918,-1.7908788422805018,1747.0190217817014,8825.37955573244,0.5164080755508033
grid,0.037763918133471616,6116.695509916349,0.512895260088704,-1.1508164149672655,1749.7674390884201,8834.640750979537,0.6218881939803828
grid,0.04315876358111042,1529.1738774790872,0.4609289164239253,-11.166176362482105,1716.1664453080134,8710.088793550789,-0.7966927634113883
grid,0.04315876358111042,2293.7608162186307,0.4758796809886537,-8.284748152481015,1726.9926490807736,8752.75281105935,-0.3107721560367761
grid,0.04315876358111042,3058.3477549581744,0.48588922063300277,-6.355631432363919,1734.2407945112018,8780.038726711215,0.0
grid,0.04315876358111042,3822.934693697718,0.4932404809758737,-4.938839077745271,1739.564016752711,8799.371606431898,0.22019128072712746
grid,0.04315876358111042,4587.521632437261,0.49894427838899114,-3.8395586563906847,1743.6942719517417,8813.938429736638,0.3860996981971302
grid,0.04315876358111042,5352.1085711768055,0.5035356894678605,-2.9546660243725587,1747.0190217817014,8825.37955573244,0.5164080755508033
grid,0.04315876358111042,6116.695509916349,0.5073311971953031,-2.223166107443146,1749.7674390884201,8834.640750979537,0.6218881939803828
nominal,0.02157938179055521,3058.3477549581744,0.5188664604877568,0.0,1734.2407945112018,8780.038726711215,0.0
k_min,0.010789690895277605,3058.3477549581744,0.5353550804151337,3.177815716181949,1734.2407945112018,8780.038726711215,0.0
k_max,0.04315876358111042,3058.3477549581744,0.48588922063300277,-6.355631432363919,1734.2407945112018,8780.038726711215,0.0
tau_min,0.02157938179055521,1529.1738774790872,0.5063863083832181,-2.4052724650590824,1716.1664453080134,8710.088793550789,-0.7966927634113883
tau_max,0.02157938179055521,6116.695509916349,0.5295874487689068,2.0662326624603757,1749.7674390884201,8834.640750979537,0.6218881939803828
