method,fpr,tpr,auc
Isolation Forest,0.03278688524590164,0.6006339144215531,0.9709873960684047
Isolation Forest,0.03278688524590164,0.6307448494453248,0.9709873960684047
Isolation Forest,0.03335217637083098,0.6307448494453248,0.9709873960684047
Isolation Forest,0.03335217637083098,0.6370839936608558,0.9709873960684047
Isolation Forest,0.033917467495760314,0.6370839936608558,0.9709873960684047
Isolation Forest,0.033917467495760314,0.6450079239302694,0.9709873960684047
Isolation Forest,0.034482758620689655,0.6450079239302694,0.9709873960684047
Isolation Forest,0.034482758620689655,0.6481774960380349,0.9709873960684047
Isolation Forest,0.035048049745618995,0.6481774960380349,0.9709873960684047
Isolation Forest,0.035048049745618995,0.6687797147385103,0.9709873960684047
Isolation Forest,0.035613340870548335,0.6687797147385103,0.9709873960684047
Isolation Forest,0.035613340870548335,0.6719492868462758,0.9709873960684047
Isolation Forest,0.03617863199547767,0.6719492868462758,0.9709873960684047
Isolation Forest,0.03617863199547767,0.6735340729001584,0.9709873960684047
Isolation Forest,0.03674392312040701,0.6735340729001584,0.9709873960684047
Isolation Forest,0.03674392312040701,0.6767036450079239,0.9709873960684047
Isolation Forest,0.03787450537026569,0.6767036450079239,0.9709873960684047
Isolation Forest,0.03787450537026569,0.6798732171156894,0.9709873960684047
Isolation Forest,0.03843979649519502,0.6798732171156894,0.9709873960684047
Isolation Forest,0.03843979649519502,0.6925515055467512,0.9709873960684047
Isolation Forest,0.03900508762012436,0.6925515055467512,0.9709873960684047
Isolation Forest,0.03900508762012436,0.6957210776545166,0.9709873960684047
Isolation Forest,0.0395703787450537,0.6957210776545166,0.9709873960684047
Isolation Forest,0.0395703787450537,0.7210776545166403,0.9709873960684047
Isolation Forest,0.04013566986998304,0.7210776545166403,0.9709873960684047
Isolation Forest,0.04013566986998304,0.7242472266244057,0.9709873960684047
Isolation Forest,0.04070096099491238,0.7242472266244057,0.9709873960684047
Isolation Forest,0.04070096099491238,0.7290015847860539,0.9709873960684047
Isolation Forest,0.041266252119841716,0.7290015847860539,0.9709873960684047
Isolation Forest,0.041266252119841716,0.7638668779714739,0.9709873960684047
Isolation Forest,0.041831543244771056,0.7638668779714739,0.9709873960684047
Isolation Forest,0.041831543244771056,0.7702060221870047,0.9709873960684047
Isolation Forest,0.0423968343697004,0.7702060221870047,0.9709873960684047
Isolation Forest,0.0423968343697004,0.7717908082408875,0.9709873960684047
Isolation Forest,0.04296212549462974,0.7717908082408875,0.9709873960684047
Isolation Forest,0.04296212549462974,0.7797147385103012,0.9709873960684047
Isolation Forest,0.04352741661955907,0.7797147385103012,0.9709873960684047
Isolation Forest,0.04352741661955907,0.786053882725832,0.9709873960684047
Isolation Forest,0.04409270774448841,0.786053882725832,0.9709873960684047
Isolation Forest,0.04409270774448841,0.7923930269413629,0.9709873960684047
Isolation Forest,0.04465799886941775,0.7923930269413629,0.9709873960684047
Isolation Forest,0.04465799886941775,0.8019017432646592,0.9709873960684047
Isolation Forest,0.04522328999434709,0.8019017432646592,0.9709873960684047
Isolation Forest,0.04522328999434709,0.8050713153724247,0.9709873960684047
Isolation Forest,0.04578858111927643,0.8050713153724247,0.9709873960684047
Isolation Forest,0.04578858111927643,0.8082408874801902,0.9709873960684047
Isolation Forest,0.046353872244205764,0.8082408874801902,0.9709873960684047
Isolation Forest,0.046353872244205764,0.8129952456418383,0.9709873960684047
Isolation Forest,0.046919163369135104,0.8129952456418383,0.9709873960684047
Isolation Forest,0.046919163369135104,0.8161648177496038,0.9709873960684047
Isolation Forest,0.048049745618993785,0.8161648177496038,0.9709873960684047
Isolation Forest,0.048049745618993785,0.8193343898573693,0.9709873960684047
Isolation Forest,0.0497456189937818,0.8193343898573693,0.9709873960684047
Isolation Forest,0.0497456189937818,0.8240887480190174,0.9709873960684047
Isolation Forest,0.05031091011871114,0.8240887480190174,0.9709873960684047
Isolation Forest,0.05031091011871114,0.8256735340729001,0.9709873960684047
Isolation Forest,0.05144149236856981,0.8256735340729001,0.9709873960684047
