seed,total_steps,final_mars_dist_km,min_mars_dist_km,min_dist_step,final_mass_kg,fuel_consumed_kg,final_rel_vel_km_s,total_reward,missed_thrust_steps,is_intercepted,failure_reason,convergence_step,init_pos_x,init_pos_y,init_pos_z,init_vel_x,init_vel_y,init_vel_z
90,11040,371176438.50922555,101414562.35495575,23,2214.260470746701,541.524414923284,52.663239792359185,-4374.0929453825065,710,False,time expired without intercept,23,-127761312.38585706,67742742.80029099,29378211.237270042,-15.480119392009806,-23.696827633648006,-10.270203322493826
91,11040,368739083.2901039,101413285.22004934,24,2190.0155419377065,555.4630374299909,52.63396327116364,-5859.65474310682,624,False,time expired without intercept,24,-127761735.322117,67743043.47400016,29377910.528941397,-15.485277564108037,-23.69226543081095,-10.271315322007133
92,11040,368847548.3908771,101412966.52277565,24,2181.150095003026,562.1304797690736,52.50717861138483,-5804.586529334693,522,False,time expired without intercept,24,-127762376.80045566,67742609.4876443,29377901.265352525,-15.4894789589542,-23.697338763044478,-10.264734837768634
93,11040,368723639.10005504,101414416.17400123,23,2176.3866930705694,564.7852350197613,52.44504334159258,-6129.366809695032,504,False,time expired without intercept,23,-127761489.18520129,67742659.24483828,29378533.2265477,-15.479575944502546,-23.692369305449002,-10.273894013212313
94,11040,369475116.3921316,101414230.3066433,23,2195.501863499882,554.098108968949,52.68389618833851,-5561.183085883333,596,False,time expired without intercept,23,-127761512.91070847,67742990.79285201,29378072.771191046,-15.481842231688177,-23.693963216131124,-10.270880492742695
95,11040,369559606.5455891,101413772.8852174,23,2196.7391991036743,554.576162866415,52.664111253722666,-5339.686345240901,586,False,time expired without intercept,23,-127761817.14778925,67742799.96394894,29378766.802273013,-15.482132731703047,-23.697849225341752,-10.26321843723857
96,11040,368983913.09375834,101412726.64143388,24,2187.8047214202443,554.8613812509338,52.5446742256453,-5808.095002446916,624,False,time expired without intercept,24,-127761992.80233511,67743220.73589058,29378033.396046456,-15.491786843458938,-23.69733353923362,-10.261971936665839
97,11040,370357885.4265581,101413722.5303553,24,2189.988759042566,554.582300085935,52.646327170194965,-5158.208247083291,600,False,time expired without intercept,24,-127761831.12095761,67743152.35551961,29378132.083748568,-15.487659825899032,-23.701622059102263,-10.274833382987515
98,11040,368357415.86992276,101413818.92885451,24,2190.01529315779,555.4491429607347,52.566047052264864,-5640.465392951254,635,False,time expired without intercept,24,-127762037.89676072,67742551.19665784,29378378.691626344,-15.479290706260539,-23.693120528321337,-10.264905929643763
99,11040,368952298.2851097,101414395.70112035,23,2189.4948429985125,555.2159428051687,52.583354746072054,-5850.428661305988,571,False,time expired without intercept,23,-127761745.37542392,67742746.24739626,29378251.188765742,-15.479303645901593,-23.704045142527896,-10.261815181994303
100,11040,369500607.6879579,101413925.42218442,24,2209.1904739209253,541.3168043796268,52.714869486100724,-5173.935428556078,741,False,time expired without intercept,24,-127762055.38641177,67742934.79095058,29378433.773517303,-15.480014931776456,-23.700068103206227,-10.264882296671992
101,11040,371049654.548312,101414422.36797333,23,2212.444370893935,543.1076005634536,52.86346513712529,-4353.326097694804,678,False,time expired without intercept,23,-127761963.53712499,67742353.69562954,29378389.38543673,-15.4790133273506,-23.696809623999332,-10.268400733135271
102,11040,368739831.630808,101413682.09669085,24,2199.2983289025074,547.4819989804496,52.61881998006801,-5593.976260065942,718,False,time expired without intercept,24,-127761609.56665044,67743403.43333973,29378477.445139673,-15.488135962115123,-23.69822956563688,-10.265931244721655
103,11040,369464412.37124527,101413753.85936606,23,2189.9741458720387,553.4731993127907,52.52143081765922,-5333.575775152167,685,False,time expired without intercept,23,-127761490.1619927,67742542.40596901,29378400.598111503,-15.488732702213467,-23.68990218650942,-10.278017697674555
104,11040,370606340.2090186,101414013.27612187,24,2225.642890812439,532.2707857621754,52.772699122619514,-4380.31864941762,852,False,time expired without intercept,24,-127761625.46983632,67743002.40212987,29378082.945818655,-15.482783875222314,-23.695258500341016,-10.26995020282353
105,11040,368803294.8055001,101413457.10581094,24,2197.6463639486287,549.6459661043173,52.5731598566044,-5457.288213254354,684,False,time expired without intercept,24,-127761781.86255191,67743174.65527755,29378735.56280072,-15.483001674905603,-23.696456977662923,-10.26492719174298
106,11040,370946639.6999064,101413729.81665173,23,2210.9514746799687,541.6977124098985,52.73736748106815,-4445.738855184861,733,False,time expired without intercept,23,-127761545.34417571,67742943.41544649,29378361.59107697,-15.48357852742711,-23.69047356228738,-10.277861071251435
107,11040,368497439.81286097,101415123.28559223,23,2188.340714011234,555.6993387334924,52.59132687012131,-5901.899833263261,662,False,time expired without intercept,23,-127761671.08175628,67742390.4521532,29378227.520501506,-15.473839170086306,-23.702778330137036,-10.267241058786981
108,11040,368170903.67841023,101413812.94001935,24,2178.6190213105583,558.8345302142457,52.52037659888288,-6419.201098689243,652,False,time expired without intercept,24,-127761034.79465221,67742875.19442752,29378741.895800233,-15.488670854698825,-23.69186599705105,-10.264779344226637
109,11040,368221556.577106,101413287.01533094,24,2203.373438363616,542.4515052570855,52.53329276366514,-5684.808582223702,840,False,time expired without intercept,24,-127761557.71391332,67743141.80122307,29378238.759909246,-15.489058382874768,-23.69150918910062,-10.26828946540602
110,11040,370684298.233801,101414115.5152739,23,2201.617720993926,547.9831071737103,52.73997099955768,-4444.665369062504,627,False,time expired without intercept,23,-127761703.03261007,67742896.37302777,29378548.205712844,-15.482893495512537,-23.70185135017694,-10.270283626126936
111,11040,369820955.7802762,101413306.7398987,23,2198.6850743583987,550.5130882993162,52.6419753236098,-5073.621322635361,633,False,time expired without intercept,23,-127761842.85845955,67742652.68777508,29378269.969468564,-15.48603818644761,-23.694469614205218,-10.25804353088908
112,11040,369111061.76036966,101413677.95916264,24,2175.719117033338,566.4409582009698,52.44330435187651,-6034.3590385357475,440,False,time expired without intercept,24,-127762098.56592514,67743096.94268776,29378094.350958634,-15.481661687591174,-23.699986772905813,-10.259137197744929
113,11040,370119592.1818884,101412773.16957481,25,2226.915901669939,532.4967168353569,52.753651689557636,-4353.253517755622,897,False,time expired without intercept,25,-127761367.53231813,67742994.24336909,29378223.733135846,-15.493917061475477,-23.690320115809563,-10.257969927665853
114,11040,369053479.1341823,101413699.48668845,24,2203.375282753945,541.7230188277836,52.693563993942604,-5268.581409151898,786,False,time expired without intercept,24,-127761978.9860498,67742915.50837393,29378015.39627344,-15.478322206840126,-23.689278288642942,-10.26923714658863
115,11040,368830579.64071673,101414907.1896219,23,2196.4502698174724,550.5583092806714,52.70175478926943,-5547.637912406867,632,False,time expired without intercept,23,-127761509.27684818,67742371.55150396,29378057.103963144,-15.47811131018579,-23.695200874616148,-10.274731261565707
116,11040,370549704.925804,101412944.09019732,24,2195.890115469294,553.5957666483937,52.624585577563096,-5202.570319921995,604,False,time expired without intercept,24,-127761927.99314544,67742870.43823653,29378479.83153563,-15.491112301748913,-23.695789035726975,-10.263653398330414
117,11040,370214400.60672617,101414475.57936627,22,2206.1886132682785,543.9395210793414,52.660987038013076,-4677.491027013387,808,False,time expired without intercept,22,-127761766.00860538,67743089.18334086,29377900.44025934,-15.475017412973887,-23.696424389156917,-10.272821861795764
118,11040,369871950.4494945,101413058.2864114,24,2188.8036427247853,555.6154024754783,52.65531439935626,-5365.844642335911,567,False,time expired without intercept,24,-127761899.33757907,67742982.72915377,29378267.762507588,-15.492726356634023,-23.69343623765334,-10.271401281816061
119,11040,369137252.2724316,101413390.35108371,23,2195.1187169195773,555.8263996123987,52.65187516517721,-5859.914253355683,534,False,time expired without intercept,23,-127761971.75790597,67743310.80504769,29378030.36155663,-15.48389448567115,-23.69452821645348,-10.269034477197346
120,11040,369014785.65267956,101413109.37552513,24,2201.144738918452,543.7599532602308,52.5965874744659,-5370.953771106885,824,False,time expired without intercept,24,-127761923.78439394,67743094.63637525,29378247.013629045,-15.486314961375811,-23.686484583596926,-10.27498176788054
121,11040,369750571.94869655,101413076.78872131,23,2206.591544399112,545.2442371778138,52.65070710869882,-4806.077509036852,754,False,time expired without intercept,23,-127761827.1304731,67742717.8492446,29378303.540461615,-15.48811678803534,-23.68791661611142,-10.267279482655653
122,11040,369565832.2284091,101414187.40115345,23,2189.1988430660417,556.7808155903622,52.516075772909495,-5268.665023183322,598,False,time expired without intercept,23,-127762214.88986596,67742744.72765388,29378244.030235257,-15.477533983978796,-23.700350677335283,-10.27074346090521
123,11040,368562863.93769944,101413384.38577054,23,2183.197579949197,560.6201018189481,52.53208111220645,-6196.886456283944,530,False,time expired without intercept,23,-127762013.27933758,67742770.40533713,29378560.54131532,-15.481764927904337,-23.6906600355018,-10.267351821043713
