seed,total_steps,final_mars_dist_km,min_mars_dist_km,min_dist_step,final_mass_kg,fuel_consumed_kg,final_rel_vel_km_s,total_reward,missed_thrust_steps,is_intercepted,failure_reason,convergence_step,init_pos_x,init_pos_y,init_pos_z,init_vel_x,init_vel_y,init_vel_z,scenario
44,11040,369613126.51914877,101413974.73218611,23,2158.8327981698303,587.4088606627283,52.56034098727901,-5800.053390298571,30,False,time expired without intercept,23,-127761693.70086335,67742867.46725698,29378254.897638887,-15.481598337605357,-23.694436946064233,-10.269658383489555,mild
45,11040,369726769.760828,101413953.40118964,23,2161.608244833928,586.4550912421732,52.55405541317275,-5805.254853100936,27,False,time expired without intercept,23,-127761788.89226031,67742831.20906588,29378245.32450132,-15.481890897406192,-23.695409688688155,-10.269974856218143,mild
46,11040,369715445.03994757,101413989.75210528,23,2159.9023243764123,587.0511300595958,52.54679984780343,-5892.626890425426,26,False,time expired without intercept,23,-127761791.144795,67742923.24652185,29378225.00402965,-15.482004616676027,-23.696430495516996,-10.271666806899535,mild
47,11040,369451080.9079769,101413830.75637093,23,2158.7778456048495,586.7539492411579,52.53975729102931,-5929.326490247144,55,False,time expired without intercept,23,-127761799.320847,67742867.22454828,29378143.57765856,-15.484674869758804,-23.6966717091377,-10.271037928720983,mild
48,11040,369799706.80380845,101413947.8311594,23,2164.0300781005435,584.6908217730875,52.565931884467716,-5735.699032452705,55,False,time expired without intercept,23,-127761781.3802613,67742929.83156326,29378248.20132728,-15.481328242038682,-23.695098983987005,-10.271255952721496,mild
49,11040,369525015.07382464,101413796.68984555,23,2158.090347306997,587.7336432320271,52.53040580892686,-5987.526371836688,32,False,time expired without intercept,23,-127761737.46619932,67742931.4824071,29378250.5026879,-15.48425416623485,-23.6951410265767,-10.270128299148192,mild
50,11040,369729570.7525836,101413727.12593901,23,2161.7240113176363,586.3446864029138,52.5523218128362,-5754.879607031872,39,False,time expired without intercept,23,-127761741.6799298,67742838.48240107,29378272.02698098,-15.484122094544592,-23.69359530157034,-10.270428271517202,mild
51,11040,369544252.883761,101414002.12946117,23,2157.928341152985,587.4741886347715,52.53189551802081,-5944.313041082358,45,False,time expired without intercept,23,-127761794.75454152,67742831.24703416,29378242.57273976,-15.481482327650287,-23.695585086621474,-10.27133898375676,mild
42,11040,369711059.15806234,101414832.38904375,23,2204.0341920084566,543.6050100073799,52.64432639297225,-5338.00885222054,848,False,time expired without intercept,23,-127761689.81973006,67742602.35597344,29378426.17279895,-15.478031976418043,-23.70501636594327,-10.276748237534312,zavoli-federici
43,11040,369216927.6425545,101413872.02183673,23,2186.614480304371,560.4688061985089,52.586109606094254,-5601.377372588581,485,False,time expired without intercept,23,-127761704.94162333,67743031.89658001,29378092.17765466,-15.487278165615626,-23.705220381055607,-10.265379225090069,zavoli-federici
44,11040,368880166.6194609,101414279.44081178,24,2192.1437432879684,552.9604037934278,52.5805241105578,-5534.434740827765,665,False,time expired without intercept,24,-127761404.50831677,67742887.92828491,29378320.24819444,-15.477052488026787,-23.69113997032116,-10.267342557447776,zavoli-federici
